title,year,km,currency,price,location,link,ratio,model,type
Bmw Serie 3 340 M,2020,2000,U$S,96000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-907854737-bmw-serie-3-340-m-_JM#position=10&search_layout=grid&type=item&tracking_id=a6f453cd-dd26-4b8c-870b-35f919415720,"10,52",,
Bmw Serie 2 3.0 240i M Package Cabrio,2018,2800,U$S,69000,Mendoza - Mendoza,https://auto.mercadolibre.com.ar/MLA-900995890-bmw-2018-30-240i-m-_JM#position=4&search_layout=grid&type=item&tracking_id=a6d33447-86f7-4808-901e-50358937623f,"10,45",240,i
Bmw Serie 1 140 M,2018,3900,U$S,51000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-913830840-bmw-serie-1-140i-m-340cv-_JM#position=29&search_layout=grid&type=item&tracking_id=2c8c8474-7179-468d-9936-43e7ecf05376,"10,15",,
Bmw Serie 4 2.0 430i Coupe Sportline 252cv,2018,4400,U$S,46451,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920851508-bmw-serie-4-20-430i-coupe-sportline-252cv-_JM#position=15&search_layout=grid&type=item&tracking_id=7053c39e-55a8-43c4-b9dc-291bcd50cf7e,"9,87",430,i
Bmw Serie 2 3.0 240i M Package,2020,3500,U$S,63900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-914872809-bmw-240m-_JM#position=2&search_layout=grid&type=item&tracking_id=71056db2-c4a2-450a-bc98-7ecd0fd27254,"9,03",240,i
Bmw Serie 1 120i,2018,6000,U$S,38000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-909642674-bmw-serie-1-120i-_JM#position=9&search_layout=grid&type=item&tracking_id=9c8842f6-cf59-490f-a5e3-70b737e40dae,"8,85",120,i
Bmw X3 2.0 30i,2020,3000,U$S,78000,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-911907705-bmw-x3-20-30i-_JM#position=27&search_layout=grid&type=item&tracking_id=60b6d52f-3f76-4539-85a0-b29f08279192,"8,63",,
Bmw Serie M 3.0 M3 431cv,2017,1998,U$S,117000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-912460117-bmw-m3-2017-_JM#position=42&search_layout=grid&type=item&tracking_id=21213f76-38ed-451e-8523-06fee6ba6f3a,"8,63",,
Bmw Serie 1 1.5 118i Sport Line 136cv,2018,7000,U$S,33900,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-876335424-bmw-serie-1-15-118i-sport-line-136cv-2018-_JM#position=3&search_layout=grid&type=item&tracking_id=7053c39e-55a8-43c4-b9dc-291bcd50cf7e,"8,50",118,i
Bmw X4 2.0 Xdrive 28i Xline 245cv,2019,3500,U$S,72000,Punilla - Córdoba,https://auto.mercadolibre.com.ar/MLA-918910544-bmw-x4-x-drive-28i-x-line-_JM#position=17&search_layout=grid&type=item&tracking_id=4c7d1cd4-42b3-4cc2-95c5-2d8ecca0f372,"8,01",,
Bmw X1 2.0 Sdrive 20i Sportline 192cv,2018,5900,U$S,44000,Florencio Varela - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-916253238-bmw-x1-20-sdrive-20i-sportline-192cv-2018-_JM#position=8&search_layout=grid&type=item&tracking_id=2efd035f-d4ad-444e-87c1-8ee227f64c03,"7,77",,
Bmw 120d 120d,2013,11111,U$S,24900,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-879871151-bmw-120d-_JM#position=29&search_layout=grid&type=item&tracking_id=3648eec4-7375-4ed0-ab83-8d61fdd78032,"7,28",120,d
Bmw Serie M 3.0 M2,2019,3109,U$S,89999,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919319231-bmw-serie-m-2019-30-m2-_JM#position=48&search_layout=grid&type=item&tracking_id=e270f5a3-fc7b-498e-86e7-7c0b95d83e87,"7,22",,
Bmw Serie 2 2.0 220i Sport Cabrio 184cv,2019,4700,U$S,61500,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-919140013-bmw-220-i-_JM#position=4&search_layout=grid&type=item&tracking_id=74f8fa62-043c-4006-9185-9ba5eef1423b,"6,98",220,i
Bmw X6 3.0 Xdrive 35i Sportive 306cv,2016,3192,U$S,95000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-916938974-bmw-x6-35i-_JM#position=28&search_layout=grid&type=item&tracking_id=19b07596-d960-4b1a-a621-a08303f73e73,"6,65",,
Bmw Serie 3 2.0 320i Sedan Executive,2018,7700,U$S,40000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919503698-bmw-320i-executive-_JM#position=46&search_layout=grid&type=item&tracking_id=7ecbb697-c145-4310-8af8-de91e0849cd2,"6,55",320,i
Bmw Serie 4 2.0 430i Gran Coupe Sportline 252cv,2017,7000,U$S,44900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920400091-bmw-430i-sport-grancoupe-_JM#position=44&search_layout=grid&type=item&tracking_id=e4cd9b26-c1c3-4b2b-a654-4787aa067e11,"6,42",430,i
Bmw Serie M 3.0 M3 431cv,2016,3000,U$S,104900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920039803-bmw-m3-2016-3000-kms-_JM#position=19&search_layout=grid&type=item&tracking_id=39b9ccd9-17cd-4e67-bf9b-d56348919f12,"6,41",,
