title,year,km,currency,price,location,link,ratio
Ford Fiesta Kinetic Fiesta Kinetic Se Plus 1.6,2014,27500,U$S,9032,Caseros - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-918284782-ford-fiesta-se-plus-16-_JM#position=17&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,8.108543360979144
Ford Fiesta Kinetic Design 1.6 Sedan Se 120cv,2014,103000,U$S,6967,Tandil - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-919308389-ford-fiesta-kinetic-design-16-sedan-se-120cv-2014-_JM#position=18&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,2.8065735694348253
Ford Fiesta Kinetic Design 1.6 Sedan Titanium 120cv,2016,64000,U$S,8709,Morón - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-921507056-ford-fiesta-kinetic-design-16-titanium-sedan-_JM#position=19&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.6169479848432653
Ford Fiesta Kinetic Design 1.6 Design Sedan 120cv Trend Plus,2011,158000,U$S,5612,Berazategui - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920841522-ford-fiesta-kinetic-design-16-design-sedan-120cv-trend-plus-_JM#position=20&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,2.2679700821927695
Ford Fiesta Kinetic Design 1.6 Sedan Se Plus,2018,39000,U$S,9612,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-921415283-ford-fiesta-kinetic-design-16-sedan-se-plus-2018-_JM#position=21&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,5.383228229670177
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,63000,U$S,6451,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-920269570-ford-fiesta-kinetic-design-16-design-120cv-titanium-2011-_JM#position=22&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,4.948168488704839
Ford Fiesta Kinetic Design 1.6 Se Plus 120cv,2014,75000,U$S,5741,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920766093-ford-fiesta-kinetic-design-16-se-plus-120cv-_JM#position=23&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,4.677466178946757
Ford Fiesta Kinetic Design 1.6 Sedan Se Plus 120cv,2015,44900,U$S,8322,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920362030-ford-fiesta-kinetic-design-16-se-plus-120cv-2015-impecable-_JM#position=24&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,5.392634651277185
"Ford Fiesta Se , Powershift 1,6",2018,64000,U$S,10967,General López - Santa Fe,https://auto.mercadolibre.com.ar/MLA-921364380-ford-fiesta-se-powershift-16-_JM#position=25&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,2.875102580468679
Ford Fiesta 1.6l Se,2015,45250,U$S,7741,Neuquén - Neuquén,https://auto.mercadolibre.com.ar/MLA-916811782-ford-fiesta-kinetic-design-16l-se-120cv-_JM#position=26&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,5.752536718813007
Ford Fiesta Kinetic Design 1.6 Titanium 120cv,2015,66000,U$S,9032,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-915125939-ford-fiesta-kinetic-titanium-2015-_JM#position=27&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.380237270848431
Ford Fiesta Kinetic Desing Attraction,2014,96000,U$S,7096,San Miguel - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-917144838-ford-fiesta-kinetic-design-16-titanium-full-impecable-_JM#position=28&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,2.956477827884254
Ford Fiesta Kinetic Design 1.6 Sedan S Plus 120cv,2018,33000,U$S,9354,Mar del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-919290727-ford-fiesta-kinetic-design-16-sedan-s-plus-120cv-2018-_JM#position=29&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,6.537472220602432
Ford Fiesta Kinetic Design 1.6 S 120cv,2015,38000,U$S,6774,Esteban Echeverría - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-909396075-ford-fiesta-_JM#position=30&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,7.82791789038584
Ford Fiesta 1.6 Kinetic Design,2015,65000,U$S,8064,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-913438557-ford-fiesta-16-kinetic-design-acepto-permutas-_JM#position=31&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.844246031746032
Ford Fiesta Kinetic Design 1.6 Se Powershift 120cv,2019,9600,U$S,10967,San Francisco - Córdoba,https://auto.mercadolibre.com.ar/MLA-921752055-ford-fiesta-kinetic-design-16-powershift-caja-automatica-_JM#position=32&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,19.176848728002188
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2013,120000,U$S,6258,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-915933832-ford-fiesta-kinetic-design-16-design-120cv-titanium-2013-_JM#position=33&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,2.6805688718440397
