title,year,km,currency,price,location,link,ratio,brand,model
Chevrolet Cruze Ii 1.4 Sedan Ltz Plus At,2016,30000,U$S,12427,San Francisco,https://auto.mercadolibre.com.ar/MLA-927325241-chevrolet-cruze-ii-14-sedan-ltz-plus-at-2016-_JM#position=19&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,5.407580268769615,Chevrolet,Cruze
Peugeot 207 1.9 Sedan Xrd,2011,191000,U$S,3757,Alta Gracia,https://auto.mercadolibre.com.ar/MLA-927021983-peugeot-207-19-sedan-xrd-2011-_JM#position=20&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,2.8024476474629556,Peugeot,207
Chevrolet Vectra 2.2 Cd 2.2,2006,200000,U$S,3236,Córdoba,https://auto.mercadolibre.com.ar/MLA-926402637-chevrolet-vectra-2006-22-cd-22-_JM#position=21&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,3.099505562422744,Chevrolet,Vectra
Audi A4 2.0 Fsi 190cv,2018,29000,U$S,37500,Cruz Alta,https://auto.mercadolibre.com.ar/MLA-925896634-audi-a4-20-fsi-190cv-2018-_JM#position=22&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,1.855632183908046,Audi,A4
Ford Focus Iii 2.0 Sedan Se Plus At6,2016,65800,U$S,8670,Alta Gracia,https://auto.mercadolibre.com.ar/MLA-921603609-ford-focus-iii-20-sedan-se-plus-at6-2016-_JM#position=23&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,3.5338290510196573,Ford,Focus
Nissan Sentra 2.0 Advance,2019,10000,U$S,13294,Córdoba,https://auto.mercadolibre.com.ar/MLA-921439666-nissan-sentra-20-advance-2019-_JM#position=24&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,15.187302542500376,Nissan,Sentra
Toyota Corolla 1.8 Xei Mt 136cv,2013,157000,U$S,6930,Alta Gracia,https://auto.mercadolibre.com.ar/MLA-916888524-toyota-corolla-18-xei-mt-136cv-2013-_JM#position=25&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,1.8501668183196847,Toyota,Corolla
Peugeot 307 2.0 Xs Hdi,2006,186000,U$S,2890,Córdoba,https://auto.mercadolibre.com.ar/MLA-927499111-peugeot-307-20-xs-hdi-2006-_JM#position=26&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,3.731815306767868,Peugeot,307
Toyota Corolla 1.8 Xei Mt 140cv,2017,48000,U$S,10693,Córdoba,https://auto.mercadolibre.com.ar/MLA-927017069-toyota-corolla-xei-2017-_JM#position=27&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,3.9297515508588177,Toyota,Corolla
Toyota Etios 1.5 Sedan Xls My19,2018,20500,U$S,9017,Valle Escondido - Córdoba,https://auto.mercadolibre.com.ar/MLA-925646987-toyota-etios-unico-dueno-_JM#position=28&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,10.917048285487846,Toyota,Etios
